Samples,Flow,FlowBin,ParMort,Vol.IS,Rugosity,MeanIS,MeanPD,MeanB,MeanBD
H1,H,0,2.080183515,35,16.96691518,1.0625,3.975,6.875,2.978125
H2,H,0,0,16,10.74262062,1.99375,4.35,7.875,1.609375
H3,H,0,15.4353339,45,12.79147253,1.91875,5.19375,6,2.325
H4,H,0,6.840836893,46,9.49758462,1.80625,6.30625,8.5,1.6
H5,H,0,2.733443405,77,19.88804151,1.54375,6.7875,8.25,1.715625
H6,H,0,0,33,19.03300789,1.68125,4.7875,5.75,2.678125
H7,H,0,0.652413696,69,13.56277675,2.28125,5.50625,5.625,2.353125
H8,H,0,1.284976908,70,18.75793317,1.50625,6.8375,8,1.634375
H9,H,0,6.703447561,75.5,17.23900381,2.93125,8.93125,7.125,1.809375
H10,H,0,10.47319242,59,15.34639634,2.13125,10.2875,6.375,1.89375
H11,H,0,0,31,13.74184932,0.725,4.45,9.375,1.934375
H12,H,0,4.608256459,21,13.38620028,1.8875,3.29375,6.5,1.996875
H13,H,0,10.10212142,65,8.551149853,2.375,6.14375,6.75,2.34375
H14,H,0,0,36,11.49269136,1.25,4.18125,10.375,2.04375
H15,H,0,0,49,17.55238021,2.14375,5.75,8.875,2.8125
H16,H,0,15.91508893,68,19.8276506,1.4375,4.4,7.125,2.9
H17,H,0,0,27,14.47358618,1.95,6.36875,5.25,2.225
H18,H,0,79.13064998,102,12.59699139,2.25625,5.3625,4.25,3.071875
H19,H,0,1.592728973,52,7.609328424,1.80625,5.81875,9.5,1.875
H20,H,0,0,38,6.357748598,2.05,3.925,10.25,1.8875
H21,H,0,0,36,4.728938463,1.36875,4.5,8,1.596875
H22,H,0,0,38,7.301042192,1.6,4.65625,8.25,1.7473125
H23,H,0,0,56,5.600379324,2.8375,3.95,8.5,2.139375
H24,H,0,0.752288589,37,9.02323333,0.95,3.225,12.5,1.405
H25,H,0,6.088748696,64,7.36731052,1.01625,2.91875,13.125,1.3375
H26,H,0,1.988691438,51,9.8826979,1.60625,3.10625,9.625,1.4875
L1,L,1,17.5831793,27,5.418073673,2.18125,4.875,6.375,2.503125
L2,L,1,4.424595648,35,12.66459841,1.81875,6.1125,6.75,2.103125
L3,L,1,0,17,6.93415281,0.925,4.53125,6.25,1.68125
L4,L,1,0,31,7.255886864,0.7875,3.6875,9.875,2.121875
L5,L,1,5.860362837,30,10.64271578,1.3875,4.425,10.25,1.909375
L6,L,1,17.3883568,41,4.694241865,1.1375,4.125,8.75,2.184375
L7,L,1,0,83,9.171248074,1.25625,3.4875,8.625,1.6375
L8,L,1,20.29164922,36,8.14682299,1.49375,3.10625,7.75,2.25625
L9,L,1,6.199026081,32,6.535469184,1.63125,7.125,8.125,2.125
L10,L,1,0,33,5.807773923,1.5625,4.85625,9.25,1.875
L11,L,1,0.415715056,41,8.546309118,0.97,4.84375,7.125,2.765625
L12,L,1,0,43,9.190240591,1.5625,6.025625,6.875,2.6375
L13,L,1,0,44,5.8895112,0.89375,6.45625,7.75,2.784375
L14,L,1,15.61539407,36,6.25866751,1.74375,4.88125,6.625,1.66875
L15,L,1,12.5025245,91,4.61101087,1.9,6.125,5.875,2.796875
L16,L,1,15.7035848,73,6.707548957,5.3875,6.275,3.875,2.753125
L17,L,1,13.49597135,24,8.009733662,1.10625,3.7375,5.25,3.384375
L18,L,1,0,35,8.989551209,0.9625,4.99375,6.5,2.2375
L19,L,1,0,64,18.84282561,1.35625,4.45,5.5,2.309375
L20,L,1,41.21684809,61,17.10368084,1.9375,6.3,8.375,1.7
L21,L,1,7.033144705,61,16.03520412,0.8375,4.0875,7.25,2.38125
L22,L,1,35.62112953,49,17.14333609,1.60625,6.59375,7.375,2.378125
L23,L,1,0,28,11.52146744,0.91875,3.84375,8.625,1.55
L24,L,1,0.914737436,42,21.05784303,1.8125,4.675,7.625,2.446875
L25,L,1,14.16660426,64,16.29405078,1.76875,4.38125,7.25,2.359375
L26,L,1,0,32,13.20784116,2.10625,4.675,7.625,2.446875
